Name,Price,Image,Link
"MOTOROLA Edge 40 (Lunar Blue, 256 GB)","₹26,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/i/x/edge-40-pay40029in-motorola-original-imagpqzcmuz7yzhx.jpeg?q=70,https://www.flipkart.com/motorola-edge-40-lunar-blue-256-gb/p/itm32e082b2d4213?pid=MOBGKHNBYGH5KHJ9&lid=LSTMOBGKHNBYGH5KHJ9JGONZB&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGKHNBYGH5KHJ9.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹29,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/k/m/11-pro-5g-rmx3741-realme-original-imagq6asfa6hg5eu.jpeg?q=70,https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-256-gb/p/itm5647cce338e55?pid=MOBGPU8HQPGU7HVR&lid=LSTMOBGPU8HQPGU7HVRYDHQ4Y&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGPU8HQPGU7HVR.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"realme 11 Pro+ 5G (Oasis Green, 256 GB)","₹29,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/x/v/-original-imagqadf2awzzmyf.jpeg?q=70,https://www.flipkart.com/realme-11-pro-5g-oasis-green-256-gb/p/itm5647cce338e55?pid=MOBGPU8HCGG9PCER&lid=LSTMOBGPU8HCGG9PCERHGOPBG&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGPU8HCGG9PCER.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"SAMSUNG Galaxy A34 5G (Awesome Violet, 128 GB)","₹27,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/j/y/galaxy-a34-5g-sm-a346elvcins-samsung-original-imagnpz5dhysxrgw.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a34-5g-awesome-violet-128-gb/p/itm0b296a7ef1c15?pid=MOBGNE4SNYUZ9GVB&lid=LSTMOBGNE4SNYUZ9GVBZYFYIQ&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGNE4SNYUZ9GVB.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"OnePlus Nord CE3 5G (Grey Shimmer, 128 GB)","₹24,230",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/k/v/nord-ce3-5g-nord-ce3-5g-oneplus-original-imags44nffzykjsw.jpeg?q=70,https://www.flipkart.com/oneplus-nord-ce3-5g-grey-shimmer-128-gb/p/itm95b25bfcca817?pid=MOBGS44NJJVFWSHU&lid=LSTMOBGS44NJJVFWSHUZE41CV&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGS44NJJVFWSHU.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"OnePlus Nord CE3 5G (Aqua Surge, 128 GB)","₹24,399",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/6/1/nord-ce3-5g-nord-ce3-5g-oneplus-original-imags44dzvsqjkw6.jpeg?q=70,https://www.flipkart.com/oneplus-nord-ce3-5g-aqua-surge-128-gb/p/itm95b25bfcca817?pid=MOBGS44DBDZBTUWS&lid=LSTMOBGS44DBDZBTUWSTUM9KO&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGS44DBDZBTUWS.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"SAMSUNG Galaxy A34 5G (Awesome Graphite, 128 GB)","₹27,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/a/v/galaxy-a34-5g-sm-a346ezkeins-samsung-original-imagnpz4h7xg6pgg.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a34-5g-awesome-graphite-128-gb/p/itmd73404f6c4c22?pid=MOBGNE4S4EZDRUWP&lid=LSTMOBGNE4S4EZDRUWP3KIETJ&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGNE4S4EZDRUWP.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"REDMI Note 13 Pro 5G (Midnight Black, 256 GB)","₹27,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/1/s/-original-imagwu89jy5ems28.jpeg?q=70,https://www.flipkart.com/redmi-note-13-pro-5g-midnight-black-256-gb/p/itm10831d8209fa2?pid=MOBGWFHFUZZQ8SEG&lid=LSTMOBGWFHFUZZQ8SEGOF8P3G&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGWFHFUZZQ8SEG.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"REDMI Note 13 Pro 5G (Arctic White, 256 GB)","₹27,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/8/i/-original-imagwu89u7fgsq4b.jpeg?q=70,https://www.flipkart.com/redmi-note-13-pro-5g-arctic-white-256-gb/p/itm43c8866e23d2b?pid=MOBGWFHF3VKBTQMB&lid=LSTMOBGWFHF3VKBTQMBECJFRR&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGWFHF3VKBTQMB.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"SAMSUNG Galaxy A34 5G (Awesome Graphite, 256 GB)","₹29,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/a/v/galaxy-a34-5g-sm-a346ezkeins-samsung-original-imagnpz4h7xg6pgg.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-a34-5g-awesome-graphite-256-gb/p/itmd2ce1e1d49768?pid=MOBGNE4SDHJVNGK7&lid=LSTMOBGNE4SDHJVNGK7AFCIBL&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGNE4SDHJVNGK7.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
